Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Acumulado no ano
2022;0,54%;1,01%;1,62%;1,06%;0,47%;0,67%;-0,68%;-0,36%;-0,29%;0,59%;0,41%;0,62%;5,78%
2021;0,25%;0,86%;0,93%;0,31%;0,83%;0,53%;0,96%;0,87%;1,16%;1,25%;0,95%;0,73%;10,06%
2020;0,21%;0,25%;0,07%;-0,31%;-0,38%;0,26%;0,36%;0,24%;0,64%;0,86%;0,89%;1,35%;4,52%
2019;0,32%;0,43%;0,75%;0,57%;0,13%;0,01%;0,19%;0,11%;-0,04%;0,10%;0,51%;1,15%;4,31%
2018;0,29%;0,32%;0,09%;0,22%;0,40%;1,26%;0,33%;-0,09%;0,48%;0,45%;-0,21%;0,15%;3,75%
2017;0,38%;0,33%;0,25%;0,14%;0,31%;-0,23%;0,24%;0,19%;0,16%;0,42%;0,28%;0,44%;2,95%
2016;1,27%;0,90%;0,43%;0,61%;0,78%;0,35%;0,52%;0,44%;0,08%;0,26%;0,18%;0,30%;6,29%
2015;1,24%;1,22%;1,32%;0,71%;0,74%;0,79%;0,62%;0,22%;0,54%;0,82%;1,01%;0,96%;10,67%
2014;0,55%;0,69%;0,92%;0,67%;0,46%;0,40%;0,01%;0,25%;0,57%;0,42%;0,51%;0,78%;6,41%
2013;0,86%;0,60%;0,47%;0,55%;0,37%;0,26%;0,03%;0,24%;0,35%;0,57%;0,54%;0,92%;5,91%
2012;0,56%;0,45%;0,21%;0,64%;0,36%;0,08%;0,43%;0,41%;0,57%;0,59%;0,60%;0,79%;5,84%
2011;0,83%;0,80%;0,79%;0,77%;0,47%;0,15%;0,16%;0,37%;0,53%;0,43%;0,52%;0,50%;6,50%
2010;0,75%;0,78%;0,52%;0,57%;0,43%;0,00%;0,01%;0,04%;0,45%;0,75%;0,83%;0,63%;5,91%
2009;0,48%;0,55%;0,20%;0,48%;0,47%;0,36%;0,24%;0,15%;0,24%;0,28%;0,41%;0,37%;4,31%
2008;0,54%;0,49%;0,48%;0,55%;0,79%;0,74%;0,53%;0,28%;0,26%;0,45%;0,36%;0,28%;5,90%
