Ano,Arquivo,Precipitacao,PressaoAtmEstacao,PressaoAtmMax,PressaoAtmMin,RadiacaoGlobal,TempAr,TempPontoOrvalho,TempMax,TempMin,TempOrvalhoMax,TempOrvalhoMin,UmidadeRelMax,UmidadeRelMin,UmidadeRel,VentoDir,VentoRajadaMax,VentoVelocidade
2007,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2007_A_31-12-2007.csv,0.8,943.7,943.9,943.4,688.7,18.2,14.2,18.7,17.8,14.7,13.8,84.0,78.0,81.0,104.0,6.3,2.8
2008,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2008_A_31-12-2008.csv,0.8,944.1,944.3,943.8,760.8,17.4,13.4,17.8,16.9,13.8,12.9,83.0,78.0,80.0,102.0,6.3,2.7
2009,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2009_A_31-12-2009.csv,0.8,943.2,943.4,942.9,841.1,18.2,14.4,18.6,17.7,14.8,14.0,85.0,80.0,82.0,110.0,6.1,2.6
2010,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2010_A_31-12-2010.csv,0.8,943.8,944.1,943.5,710.05,17.4,13.6,17.9,17.0,13.9,13.1,85.0,80.0,83.0,107.0,6.2,2.6
2011,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2011_A_31-12-2011.csv,0.8,944.0,944.3,943.8,780.55,17.3,13.4,17.8,16.8,13.9,13.0,84.0,80.0,82.0,102.0,6.3,2.7
2012,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2012_A_31-12-2012.csv,1.0,944.0,944.2,943.7,995.7,18.7,13.7,19.1,18.2,14.1,13.2,79.0,74.0,77.0,107.0,6.3,2.8
2013,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2013_A_31-12-2013.csv,0.8,944.5,944.8,944.3,824.8,17.2,13.2,17.7,16.7,13.7,12.7,83.0,78.0,81.0,108.0,6.1,2.6
2014,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2014_A_31-12-2014.csv,1.0,944.6,944.8,944.3,963.1,18.3,14.5,18.7,17.9,14.9,14.0,84.0,79.0,81.0,95.0,6.3,2.7
2015,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2015_A_31-12-2015.csv,0.8,944.0,944.3,943.7,888.65,18.7,15.2,19.1,18.3,15.6,14.8,85.0,81.0,83.0,109.0,6.1,2.6
2016,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2016_A_31-12-2016.csv,1.0,944.2,944.4,943.9,1014.6,17.7,13.1,18.2,17.3,13.7,12.7,83.0,78.0,80.0,118.0,6.1,2.6
2017,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2017_A_31-12-2017.csv,0.9,944.3,944.5,944.0,1058.0,18.3,13.8,18.8,17.8,14.2,13.4,81.0,76.0,79.0,88.0,6.5,2.8
2018,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2018_A_31-12-2018.csv,0.8,944.0,944.3,943.8,994.65,18.1,14.1,18.5,17.7,14.6,13.6,84.0,79.0,81.0,112.0,6.2,2.6
2019,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2019_A_31-12-2019.csv,0.6,944.1,944.4,943.9,976.9,18.3,14.2,18.8,17.9,14.7,13.7,82.0,77.0,80.0,107.0,6.3,2.7
2020,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2020_A_31-12-2020.csv,0.8,944.5,944.7,944.2,1065.5,17.85,12.4,18.4,17.4,12.9,11.9,78.0,73.0,75.0,109.0,6.4,2.7
2021,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2021_A_31-12-2021.csv,0.8,944.4,944.6,944.1,1105.2,17.7,12.95,18.2,17.2,13.5,12.5,81.0,76.0,78.0,109.0,6.2,2.6
2022,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2022_A_31-12-2022.csv,0.6,943.8,944.1,943.6,1018.6,17.2,12.7,17.7,16.7,13.2,12.3,81.0,76.0,79.0,111.0,6.4,2.7
