País,Ano,Litros,Valor,TempAr,Precipitacao,Inflação,PIB_Brasil_Trilhoes,PIB_RS_Trilhoes,USD BRL,ValorPorLitro
Afeganistão,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Países Baixos,2007,181046.0,364751.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.01
Omã,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Nova Zelândia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Nova Caledônia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Noruega,2007,10044.0,10044.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.0
Nigéria,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Nicarágua,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Namíbia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Montenegro,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Moçambique,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
México,2007,2453.0,15425.0,18.2,0.8,4.46,2.72,0.168,1.95095,6.29
Mauritânia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Martinica,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
"Marshall, Ilhas",2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Palau,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Malta,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Malásia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Macau,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Luxemburgo,2007,785.0,2033.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.59
Libéria,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Líbano,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Letônia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Jordânia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Japão,2007,357943.0,316867.0,18.2,0.8,4.46,2.72,0.168,1.95095,0.89
Jamaica,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Itália,2007,7209.0,19860.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.75
Irlanda,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Iraque,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Irã,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Indonésia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Malavi,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Paraguai,2007,1285459.0,801519.0,18.2,0.8,4.46,2.72,0.168,1.95095,0.62
Peru,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Pitcairn,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Vietnã,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Venezuela,2007,20700.0,27370.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.32
Vanuatu,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Uruguai,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Tuvalu,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Turquia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Tunísia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Trinidade Tobago,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Toquelau,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Togo,2007,11.0,11.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.0
"Tcheca, República",2007,85303.0,189620.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.22
Tanzânia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Taiwan (Formosa),2007,6377.0,11214.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.76
Tailândia,2007,839.0,2020.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.41
Suriname,2007,2700.0,4603.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.7
Suíça,2007,26090.0,70716.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.71
Suécia,2007,919.0,2448.0,18.2,0.8,4.46,2.72,0.168,1.95095,2.66
Polônia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Porto Rico,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Portugal,2007,109074.0,165282.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.52
Quênia,2007,10600.0,13860.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.31
Reino Unido,2007,84613.0,144244.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.7
República Dominicana,2007,601.0,2438.0,18.2,0.8,4.46,2.72,0.168,1.95095,4.06
India,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Rússia,2007,266400.0,173160.0,18.2,0.8,4.46,2.72,0.168,1.95095,0.65
São Tomé e Príncipe,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
São Vicente e Granadinas,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Senegal,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Serra Leoa,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Singapura,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Suazilândia,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
São Cristóvão e Névis,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Ilhas Virgens,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
Panamá,2007,810.0,1030.0,18.2,0.8,4.46,2.72,0.168,1.95095,1.27
Hungria,2007,0.0,0.0,18.2,0.8,4.46,2.72,0.168,1.95095,
