Nome do País (Inglês),Nome do País (Português),Nacionalidade (Inglês),Nacionalidade (Português)
Afghanistan,Afeganistão,Afghan,afegão/afegã
South Africa,África do Sul,South African,sul-africano(a)
Albania,Albânia,Albanian,albanês/albanesa
Germany,Alemanha,German,alemão/alemã
Andorra,Andorra,Andorran,andorrano(a)
Angola,Angola,Angolan,angolano(a)
Antigua and Barbuda,Antígua e Barbuda,Antiguan,antiguano(a)
Saudi Arabia,Arábia Saudita,Saudi,saudita
Algeria,Argélia,Algerian,argelino(a)
Argentina,Argentina,Argentine,argentino(a)
Armenia,Armênia,Armenian,armênio(a)
Australia,Austrália,Australian,australiano(a)
Austria,Áustria,Austrian,austríaco(a)
Azerbaijan,Azerbaijão,Azerbaijani,azerbaijano(a)
Bahamas,Bahamas,Bahamian,bahamense
Bahrain,Bahrein,Bahraini,bareinita
Bangladesh,Bangladesh,Bangladeshi,bengali(a)
Barbados,Barbados,Barbadian,barbadiano(a)
Belarus,Belarus,Belarusian,bielorrusso(a)
Belgium,Bélgica,Belgian,belga
Belize,Belize,Belizean,belizenho(a)
Benin,Benin,Beninese,beninense
Bolivia,Bolívia,Bolivian,boliviano(a)
Bosnia and Herzegovina,Bósnia e Herzegovina,Bosnian/Herzegovinian,bósnio(a)/herzegovino(a)
Botswana,Botsuana,Motswana,botsuanense
Brazil,Brasil,Brazilian,brasileiro(a)
Brunei,Brunei,Bruneian,bruneano(a)
Bulgaria,Bulgária,Bulgarian,búlgaro(a)
Burkina Faso,Burkina Faso,Burkinabe,burquinês(a)
Burundi,Burundi,Burundian,burundinês(a)
Bhutan,Butão,Bhutanese,butanês(a)
Cape Verde,Cabo Verde,Cape Verdean,cabo-verdiano(a)
Cameroon,Camarões,Cameroonian,camaronês(a)
Cambodia,Camboja,Cambodian,cambojano(a)
Canada,Canadá,Canadian,canadense
Qatar,Catar,Qatari,catariano(a)
Kazakhstan,Cazaquistão,Kazakh,cazaque
Chad,Chade,Chadian,chadiano(a)
Chile,Chile,Chilean,chileno(a)
China,China,Chinese,chinês/chinesa
Cyprus,Chipre,Cypriot,cipriota
Colombia,Colômbia,Colombian,colombiano(a)
Comoros,Comores,Comorian,comorense
Congo,Congo,Congolese,congolês(a)
North Korea,Coreia do Norte,North Korean,norte-coreano(a)
