YEAR;1;2;3;4;5;6;7;8;9;10;11;12
2000;1,7997;1,7764;1,7431;1,7833;1,8382;1,8079;1,8106;1,8056;1,8438;1,8764;1,9441;1,9678
2001;1,9475;1,9812;2,0864;2,1573;2,3384;2,4079;2,5538;2,5005;2,6986;2,779;2,5299;2,384
2002;2,3705;2,438;2,3542;2,318;2,5117;2,7181;2,8455;3,1912;3,1506;3,8567;3,6797;3,7342
2003;3,2983;3,658;3,3958;3,1154;2,9306;2,857;2,8554;2,993;2,8898;2,8268;2,9418;2,9293
2004;2,8126;2,9085;2,9013;2,9064;3,0982;3,138;3,0215;3,0235;2,9042;2,8623;2,7991;2,7508
2005;2,7074;2,5762;2,7621;2,5971;2,4715;2,4455;2,3427;2,3422;2,3012;2,2511;2,199;2,2957
2006;2,2747;2,1375;2,1215;2,1426;2,1774;2,2845;2,213;2,148;2,154;2,1419;2,1537;2,147
2007;2,1407;2,0896;2,0909;2,0231;1,9922;1,9097;1,8684;2,0043;1,9031;1,8078;1,7378;1,7959
2008;1,745;1,7541;1,6947;1,6822;1,6601;1,6368;1,591;1,6389;1,8125;2,1551;2,28;2,369
2009;2,3803;2,268;2,3012;2,1992;2,0762;1,9458;1,942;1,8385;1,8087;1,7037;1,729;1,7557
2010;1,7711;1,867;1,7644;1,7483;1,7967;1,7971;1,769;1,7716;1,7169;1,6604;1,7198;1,6988
2011;1,6843;1,6682;1,6692;1,5776;1,6328;1,596;1,5743;1,5956;1,7106;1,7376;1,7649;1,8609
2012;1,7853;1,7158;1,8006;1,8364;1,9941;2,0443;2,0332;2,0338;2,0234;2,0139;2,0382;2,084
2013;2,0374;1,96;1,9749;1,979;2,0233;2,1367;2,2548;2,3434;2,2785;2,1818;2,3289;2,3354
2014;2,347;2,3924;2,3638;2,2257;2,2166;2,2347;2,2195;2,269;2,3401;2,4316;2,6136;2,6717
2015;2,6122;2,8392;3,2264;3,0681;2,9884;3,1036;3,1532;3,4761;3,8599;3,8344;3,8023;3,8703
2016;3,8711;3,9885;3,7116;3,5276;3,5041;3,4768;3,2656;3,1672;3,3326;3,1864;3,4446;3,383
2017;3,2034;3,0779;3,1629;3,1269;3,1011;3,2836;3,1899;3,1976;3,1255;3,1572;3,2802;3,3176
2018;3,1963;3,2208;3,2859;3,4105;3,6753;3,7738;3,8745;3,9134;4,1879;3,7332;3,7924;3,909
2019;3,6513;3,7379;3,8961;3,9447;3,9401;3,8316;3,7643;4,1379;4,1638;4,0035;4,2234;4,0301
2020;4,0949;4,1622;4,3163;4,7362;5,2579;5,8229;5,1883;5,3491;5,3852;5,2728;5,6172;5,4854
2021;5,0968;5,2714;5,3815;5,6296;5,6234;5,2701;5,0874;5,1;5,2474;5,2576;5,451;5,4199
2022;5,7127;5,5349;5,1881;5,1314;4,7158;5,1075;5,1119;5,4014;5,0925;5,2211;5,2824;5,3013
2023;5,3183;5,1146;5,2243;5,2981;4,9455;4,9103;4,8222;4,7957;4,9812;4,8689;5,0625;4,8682
2024;4,9397;4,8765;4,971;4,9937;;;;;;;;
