Ano,Arquivo,Precipitacao,Precipitacao,Precipitacao,Precipitacao,PressaoAtmEstacao,PressaoAtmEstacao,PressaoAtmEstacao,PressaoAtmEstacao,PressaoAtmMax,PressaoAtmMax,PressaoAtmMax,PressaoAtmMax,PressaoAtmMin,PressaoAtmMin,PressaoAtmMin,PressaoAtmMin,RadiacaoGlobal,RadiacaoGlobal,RadiacaoGlobal,RadiacaoGlobal,TempAr,TempAr,TempAr,TempAr,TempPontoOrvalho,TempPontoOrvalho,TempPontoOrvalho,TempPontoOrvalho,TempMax,TempMax,TempMax,TempMax,TempMin,TempMin,TempMin,TempMin,TempOrvalhoMax,TempOrvalhoMax,TempOrvalhoMax,TempOrvalhoMax,TempOrvalhoMin,TempOrvalhoMin,TempOrvalhoMin,TempOrvalhoMin,UmidadeRelMax,UmidadeRelMax,UmidadeRelMax,UmidadeRelMax,UmidadeRelMin,UmidadeRelMin,UmidadeRelMin,UmidadeRelMin,UmidadeRel,UmidadeRel,UmidadeRel,UmidadeRel,VentoDir,VentoDir,VentoDir,VentoDir,VentoRajadaMax,VentoRajadaMax,VentoRajadaMax,VentoRajadaMax,VentoVelocidade,VentoVelocidade,VentoVelocidade,VentoVelocidade
,,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max,median,mean,min,max
2007,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2007_A_31-12-2007.csv,0.8,2.113942307692308,0.2,30.2,943.7,943.8879971250599,926.9,959.9,943.9,944.1551172579675,927.5,960.1,943.4,943.6049909801563,926.7,959.8,688.7,1088.697898997687,0.1,3979.7,18.2,17.646237718667624,-0.7,32.8,14.2,13.359031523432817,-6.8,23.6,18.7,18.204608350379015,-0.3,33.8,17.8,17.129200240529162,-0.8,32.0,14.7,13.867649181905678,-3.5,24.4,13.8,12.873075072184793,-8.2,22.9,84.0,80.80577269993987,26.0,100.0,78.0,75.30787733012627,20.0,100.0,81.0,78.14841878294202,23.0,100.0,104.0,133.1339971209213,1.0,360.0,6.3,6.591888634446185,0.2,24.8,2.8,2.9366272694041675,0.1,12.0
2008,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2008_A_31-12-2008.csv,0.8,1.8698612862547288,0.2,30.4,944.1,944.017864476386,930.5,957.1,944.3,944.2713894592745,930.5,957.2,943.8,943.7603582021446,930.3,957.0,760.8,1133.9671546546547,0.1,3996.5,17.4,17.089207073588135,-0.8,33.1,13.4,12.680367537952288,-5.1,21.5,17.8,17.64254420992584,-0.4,33.3,16.9,16.567499429614422,-0.9,31.1,13.8,13.184046559397467,-3.5,22.6,12.9,12.205204885287069,-5.3,20.7,83.0,79.99098790782568,26.0,100.0,78.0,74.6035820214465,15.0,100.0,80.0,77.35808806753366,18.0,100.0,102.0,130.9113620807666,1.0,360.0,6.3,6.5236448704781465,0.6,23.6,2.7,2.8861306301117384,0.1,10.1
2009,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2009_A_31-12-2009.csv,0.8,2.425531914893617,0.2,29.8,943.2,943.2964892966361,931.1,954.9,943.4,943.5459432920093,931.5,955.1,942.9,943.0113538725911,929.3,954.7,841.1,1153.8079390862943,0.1,3983.6,18.2,17.80395107033639,0.3,33.9,14.4,13.673085392708588,-4.7,23.2,18.6,18.376138455873328,2.0,33.9,17.7,17.307966122499078,0.2,32.7,14.8,14.193334969927582,-2.5,24.0,14.0,13.232703167198625,-7.5,22.2,85.0,81.23883161512028,29.0,100.0,80.0,75.95152184585174,24.0,100.0,82.0,78.65149847094801,26.0,100.0,110.0,133.68233565919942,1.0,360.0,6.1,6.377851524090461,0.1,22.9,2.6,2.75856504468719,0.1,10.1
2010,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2010_A_31-12-2010.csv,0.8,1.7510729613733906,0.2,29.0,943.8,944.228164013286,930.6,960.3,944.1,944.496243271103,931.9,960.6,943.5,943.9562134921545,928.5,960.1,710.05,1095.669857197993,0.1,3976.4,17.4,17.23718932539228,0.3,33.4,13.6,13.271837763519708,-2.1,24.5,17.9,17.75840109953041,0.5,34.1,17.0,16.73980071011339,-0.3,32.7,13.9,13.744925544100802,-1.5,24.9,13.1,12.812807881773399,-3.2,23.2,85.0,81.78135379681595,27.0,100.0,80.0,76.77665788569465,19.0,100.0,83.0,79.35230786851449,22.0,100.0,107.0,131.9911808498454,1.0,360.0,6.2,6.477128758319944,0.2,21.2,2.6,2.7655870922152865,0.1,11.7
2011,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2011_A_31-12-2011.csv,0.8,2.100225225225225,0.2,47.4,944.0,943.9491733639495,931.9,956.5,944.3,944.214867967853,931.9,956.6,943.8,943.6789781859932,928.4,956.4,780.55,1127.3917181467182,0.1,3968.2,17.3,17.080663681249284,-1.8,34.4,13.4,12.845581983224177,-5.6,24.0,17.8,17.62467278989667,-1.4,35.6,16.8,16.56210103329506,-2.3,32.8,13.9,13.337221328430246,-3.1,24.8,13.0,12.389063937442502,-6.6,22.6,84.0,80.68002296211252,25.0,100.0,80.0,75.60413318025259,17.0,99.0,82.0,78.19735935706085,23.0,100.0,102.0,127.9332950631458,1.0,360.0,6.3,6.568308227114716,0.4,24.9,2.7,2.8318490296463867,0.1,11.0
2012,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2012_A_31-12-2012.csv,1.0,2.089375,0.2,19.4,944.0,944.3513436574813,928.5,957.9,944.2,944.6085401958552,929.7,958.0,943.7,944.0906627191983,926.2,957.7,995.7,1247.3572819392014,0.1,3976.4,18.7,18.262487188247352,-2.4,34.5,13.7,13.11860835895684,-6.2,22.9,19.1,18.8331131860624,-1.8,35.3,18.2,17.715463447961742,-2.7,33.3,14.1,13.627209567198177,-5.4,23.2,13.2,12.632103405079148,-7.7,21.6,79.0,76.84855386016852,18.0,100.0,74.0,71.58107492598496,12.0,100.0,77.0,74.2644044636757,15.0,100.0,107.0,134.8409246185379,1.0,360.0,6.3,6.641648490414418,0.4,24.5,2.8,2.929628756629346,0.1,10.5
2013,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2013_A_31-12-2013.csv,0.8,2.0451541850220263,0.2,36.8,944.5,944.5400914808462,931.1,957.8,944.8,944.8039679817039,931.4,958.0,944.3,944.2739279588336,929.8,957.5,824.8,1162.173353693453,0.1,3991.0,17.2,17.020768526989936,-0.7,34.1,13.2,12.633855655953335,-3.6,23.4,17.7,17.563506404391582,-0.5,35.1,16.7,16.493150371640937,-1.1,33.3,13.7,13.148678943154524,-2.2,24.1,12.7,12.141255861832324,-5.0,21.9,83.0,80.08347627215552,25.0,99.0,78.0,74.86586620926244,18.0,99.0,81.0,77.53070325900515,20.0,99.0,108.0,135.1958833619211,1.0,360.0,6.1,6.326341072858287,0.2,20.3,2.6,2.7650207660359944,0.1,10.3
2014,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2014_A_31-12-2014.csv,1.0,2.1637711864406777,0.2,62.0,944.6,944.7485665137615,930.2,957.3,944.8,945.0246644487783,930.4,957.4,944.3,944.4716760353332,929.0,957.1,963.1,1225.8811473706091,0.1,3999.5,18.3,18.166823394495413,-1.1,34.9,14.5,13.85197247706422,-6.4,22.8,18.7,18.706401284845704,-0.5,35.3,17.9,17.659699437880004,-1.4,34.4,14.9,14.35843753584949,-3.0,24.2,14.0,13.379118861863239,-8.8,22.2,84.0,80.38728920500172,26.0,99.0,79.0,75.33623953194906,20.0,99.0,81.0,77.9381880733945,21.0,99.0,95.0,129.30668654662233,1.0,360.0,6.3,6.638338878054377,0.6,27.9,2.7,2.915284195933457,0.1,10.6
2015,Data/input/Meteorologia/Bento Goncalves/INMET_S_RS_A840_BENTO GONCALVES_01-01-2015_A_31-12-2015.csv,0.8,1.9496221662468514,0.2,29.0,944.0,944.1815589069734,929.0,958.4,944.3,944.4562761506277,930.0,958.5,943.7,943.9050508069336,928.0,958.3,888.65,1156.7716816499208,0.1,3999.5,18.7,18.542558590834453,2.2,31.6,15.2,14.925268817204302,-4.6,23.9,19.1,19.046855862584017,2.5,32.3,18.3,18.06840926064227,1.8,30.8,15.6,15.37341999103541,-1.1,23.9,14.8,14.509550141981766,-5.7,22.5,85.0,82.96775156763213,7.2,99.0,81.0,78.29767025089606,10.1,98.0,83.0,80.72339155097775,31.0,99.0,109.0,132.9672841350463,1.0,360.0,6.1,6.366427503736921,0.9,25.7,2.6,2.7319548872180452,0.1,10.0
